date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:34	36575/36575	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Feb%202019%2006:09:13%20GMT	http://cdn.shopify.com/s/assets/storefront/features-e87392afe29fe307282f4e6aad12cb4bcc2afefd6b7febf0b70edfd315f9684c.js	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/assets/storefront/features-e87392afe29fe307282f4e6aad12cb4bcc2afefd6b7febf0b70edfd315f9684c.js	(from https://amplifiedapparel.com/)
11:54:37	48706/48706	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2011%20Mar%202018%2005:57:35%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/t/6/assets/jquery.fancybox.js?0	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/t/6/assets/jquery.fancyboxcfcd.js	(from https://amplifiedapparel.com/)
11:54:38	2729/2729	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2011%20Mar%202018%2005:57:35%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/t/6/assets/modernizr.js?0	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/t/6/assets/modernizrcfcd.js	(from https://amplifiedapparel.com/)
11:54:38	91/91	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2011%20Mar%202018%2005:57:36%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/t/6/assets/forms.js?0	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/t/6/assets/formscfcd.js	(from https://amplifiedapparel.com/)
11:54:39	93064/93064	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2011%20Mar%202018%2005:57:35%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/t/6/assets/jquery-1.10.1.min.js?0	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/t/6/assets/jquery-1.10.1.mincfcd.js	(from https://amplifiedapparel.com/)
11:54:39	6787/6787	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Jul%202016%2018:19:52%20GMT	http://cdn.shopify.com/s/files/1/0660/4893/t/6/assets/instafeed.js?0	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/files/1/0660/4893/t/6/assets/instafeedcfcd.js	(from https://amplifiedapparel.com/)
11:54:40	55388/55388	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2002%20May%202019%2015:54:34%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/connect.facebook.net/en_US/fbevents.js	(from https://amplifiedapparel.com/)
11:54:41	110809/110809	---MCZ	200	added ('OK')	text/html	etag:cacheable:335caa24a6cd84ef8366dca9880fe337	https://amplifiedapparel.com/collections/all	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all.html	(from https://amplifiedapparel.com/)
11:54:44	108527/108527	---MCZ	200	added ('OK')	text/html	etag:cacheable:cc24017497c75155079bebf6ba48675c	https://amplifiedapparel.com/collections/all-t-shirts	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/amplifiedapparel.com/collections/all-t-shirts.html	(from https://amplifiedapparel.com/)
11:54:44	328440/328440	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20Mar%202019%2015:18:55%20GMT	http://cdn.shopify.com/s/assets/storefront/express_buttons-646307822f46ed653e67b5a23f6b2e4a7f38cb3a0df37b067fd9cc5898551c0c.js	C:/Users/Jeff/Dropbox/Amplified%20Apparel/Amplified%20Apparel%20Site/cdn.shopify.com/s/assets/storefront/express_buttons-646307822f46ed653e67b5a23f6b2e4a7f38cb3a0df37b067fd9cc5898551c0c.js	(from https://amplifiedapparel.com/)
